survived,pclass,age,fare,adult_male,alone,familySize,sex_male,embark_town_Queenstown,embark_town_Southampton,who_man,who_woman,class_Second,class_Third
0,3,0.2711736617240512,0.33812548386615277,1,0,0.1,True,False,True,True,False,False,True
1,1,0.4722292033174164,0.6858916529635944,0,0,0.1,False,False,False,False,True,False,False
1,3,0.32143754712239253,0.35072669661240763,0,1,0.0,False,False,True,False,True,False,True
1,1,0.4345312892686604,0.6394627518675874,0,0,0.1,False,False,True,False,True,False,False
0,3,0.4345312892686604,0.3529552840548492,1,1,0.0,True,False,True,True,False,False,True
0,3,0.34656948982156316,0.36002602424862645,1,1,0.0,True,True,False,True,False,False,True
0,1,0.6732847449107816,0.635754966338881,1,1,0.0,True,False,True,True,False,False,False
0,3,0.01985423473234481,0.495831873839879,0,0,0.4,True,False,True,False,False,False,True
1,3,0.33400351847197784,0.3999337912742493,0,0,0.20000000000000004,False,False,True,False,True,False,True
1,2,0.17064589092736868,0.5506031046482883,0,0,0.1,False,False,False,False,False,True,False
1,3,0.04498617743151546,0.46043946366130095,0,0,0.20000000000000004,False,False,True,False,False,False,True
1,1,0.723548630309123,0.5313325505056177,0,1,0.0,False,False,True,False,True,False,False
0,3,0.24604171902488062,0.3529552840548492,1,1,0.0,True,False,True,True,False,False,True
0,3,0.4847951746670017,0.556695873257052,1,0,0.6000000000000001,True,False,True,True,False,False,True
0,3,0.17064589092736868,0.3494505372759428,0,1,0.0,False,False,True,False,False,False,True
1,2,0.685850716260367,0.45397386041263804,0,1,0.0,False,False,True,False,True,True,False
0,3,0.01985423473234481,0.5456498136790771,0,0,0.5000000000000001,True,True,False,False,False,False,True
1,2,0.34656948982156316,0.42286368807669106,1,1,0.0,True,False,True,True,False,True,False
0,3,0.38426740387031916,0.4717958613762316,0,0,0.1,False,False,True,False,True,False,True
1,3,0.34656948982156316,0.33763919258513786,0,1,0.0,False,False,False,False,True,False,True
0,2,0.4345312892686604,0.5281013477114938,1,1,0.0,True,False,True,True,False,True,False
1,2,0.4219653179190751,0.42286368807669106,1,1,0.0,True,False,True,True,False,True,False
1,3,0.18321186227695402,0.35258659021486516,0,1,0.0,False,True,False,False,False,False,True
1,1,0.34656948982156316,0.5764076106287911,1,1,0.0,True,False,True,True,False,False,False
0,3,0.09525006282985675,0.495831873839879,0,0,0.4,False,False,True,False,False,False,True
1,3,0.4722292033174164,0.5572534209632187,0,0,0.6000000000000001,False,False,True,False,True,False,True
0,3,0.34656948982156316,0.33763919258513786,1,1,0.0,True,False,False,True,False,False,True
0,1,0.2334757476752953,0.8934502391534316,1,0,0.5000000000000001,True,False,True,True,False,False,False
1,3,0.34656948982156316,0.34990232023989454,0,1,0.0,False,True,False,False,True,False,True
0,3,0.34656948982156316,0.3502016019446998,1,1,0.0,True,False,True,True,False,False,True
0,1,0.49736114601658704,0.5380012918108712,1,1,0.0,True,False,False,True,False,False,False
1,1,0.34656948982156316,0.8001979354812082,0,0,0.1,False,False,False,False,True,False,False
1,3,0.34656948982156316,0.34755366512192026,0,1,0.0,False,True,False,False,True,False,True
0,2,0.8240764011058055,0.39134423619738523,1,1,0.0,True,False,True,True,False,True,False
0,1,0.34656948982156316,0.7083728358165282,1,0,0.1,True,False,False,True,False,False,False
0,1,0.5224930887157577,0.6361712049470615,1,0,0.1,True,False,True,True,False,False,False
1,3,0.34656948982156316,0.3377209927336551,1,1,0.0,True,False,False,True,False,False,True
0,3,0.2586076903744659,0.3529552840548492,1,1,0.0,True,False,True,True,False,False,True
0,3,0.22090977632571,0.4717958613762316,0,0,0.20000000000000004,False,False,True,False,True,False,True
1,3,0.17064589092736868,0.40135896919365455,0,0,0.1,False,False,False,False,False,False,True
0,3,0.49736114601658704,0.3763856068398255,0,0,0.1,False,False,True,False,True,False,True
0,2,0.33400351847197784,0.4952865544680222,0,0,0.1,False,False,True,False,True,True,False
0,3,0.34656948982156316,0.3502016019446998,1,1,0.0,True,False,False,True,False,False,True
1,2,0.032420206081930136,0.6010920603306374,0,0,0.30000000000000004,False,False,False,False,False,True,False
1,3,0.2334757476752953,0.34990232023989454,0,1,0.0,False,True,False,False,True,False,True
0,3,0.34656948982156316,0.3529552840548492,1,1,0.0,True,False,True,True,False,False,True
0,3,0.34656948982156316,0.44919043492360855,1,0,0.1,True,True,False,True,False,False,True
1,3,0.34656948982156316,0.34755366512192026,0,1,0.0,False,True,False,False,True,False,True
0,3,0.34656948982156316,0.5001585548138243,1,0,0.20000000000000004,True,False,False,True,False,False,True
0,3,0.22090977632571,0.4701002597957256,0,0,0.1,False,False,True,False,True,False,True
0,3,0.08268409148027142,0.5938102861020564,0,0,0.5000000000000001,True,False,True,False,False,False,True
0,3,0.2586076903744659,0.34846667530788156,1,1,0.0,True,False,True,True,False,False,True
1,1,0.610454888162855,0.6975306263001565,0,0,0.1,False,False,False,False,True,False,False
