survived,pclass,age,fare,adult_male,alone,fare_zscore,familySize,sex_male,embark_town_Queenstown,embark_town_Southampton,who_man,who_woman,class_Second,class_Third
0,3,-0.5657364610748749,-0.8797405693934279,1,0,-0.8792467492201408,0.059159876663617675,True,False,True,True,False,False,True
1,1,0.6638610320657842,1.3612199269233831,0,0,1.3604558404601903,0.059159876663617675,False,False,False,False,True,False,False
1,3,-0.25833708778971,-0.7985399740528021,0,1,-0.7980917337850657,-0.5609748304808925,False,False,True,False,True,False,True
1,1,0.4333115021019105,1.0620380556287106,0,0,1.0614419073607846,0.059159876663617675,False,False,True,False,True,False,False
0,3,0.4333115021019105,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.7386163019798164,1,1,-0.738201698353559,-0.5609748304808925,True,True,False,True,False,False,True
0,1,1.8934585252064433,1.038145562232327,1,1,1.0375628254127753,-0.5609748304808925,True,False,True,True,False,False,False
0,3,-2.102733327500698,0.1364991380659539,0,0,0.13642251771859448,1.919563998097148,True,False,True,False,False,False,True
1,3,-0.18148724446841888,-0.48145578049281335,0,0,-0.4811855274372825,0.679294583808128,False,False,True,False,True,False,True
1,2,-1.180535207645204,0.48943790981262336,0,0,0.48916317619018307,0.059159876663617675,False,False,False,False,False,True,False
1,3,-1.9490336408581157,-0.09156500424402281,0,0,-0.09151360653902194,0.679294583808128,False,False,True,False,False,False,True
1,1,2.2008578984916083,0.36526093570402574,0,1,0.3650559056930892,-0.5609748304808925,False,False,True,False,True,False,False
0,3,-0.7194361477174569,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,0.7407108753870754,0.5286989276421438,1,0,0.5284021558378776,3.159833412386169,True,False,True,True,False,False,True
0,3,-1.180535207645204,-0.8067633807960333,0,1,-0.8063105245263931,-0.5609748304808925,False,False,True,False,False,False,True
1,2,1.9703083685277347,-0.1332285205737307,0,1,-0.13315373610498443,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-2.102733327500698,0.4575195394387211,0,0,0.4572627223882084,2.539698705241659,True,True,False,False,False,False,True
1,2,-0.10463740114712775,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,3,0.12591212881674596,-0.01838583697289199,0,0,-0.018375516547171258,0.059159876663617675,False,False,True,False,True,False,True
1,3,-0.10463740114712775,-0.8828741679067219,0,1,-0.8823785887669681,-0.5609748304808925,False,False,False,False,True,False,True
0,2,0.4333115021019105,0.3444394801955363,1,1,0.34424613778333585,-0.5609748304808925,True,False,True,True,False,True,False
1,2,0.35646165878061936,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
1,3,-1.1036853643239126,-0.7865550587251359,0,1,-0.7861135458872462,-0.5609748304808925,False,True,False,False,False,False,True
1,1,-0.10463740114712775,0.6557188297748952,1,1,0.6553507585532051,-0.5609748304808925,True,False,True,True,False,False,False
0,3,-1.641634267572951,0.1364991380659539,0,0,0.13642251771859448,1.919563998097148,False,False,True,False,False,False,True
1,3,0.6638610320657842,0.5322916934007402,0,0,0.5319929048880593,3.159833412386169,False,False,True,False,True,False,True
